citing_doi,cited_doi
10.1103/PhysRevLett.110.097001,10.1103/PhysRevLett.103.027004
10.1103/PhysRevLett.109.147207,10.1103/PhysRevLett.108.207205
10.1103/PhysRevX.5.041021,10.1103/PhysRevLett.109.057005
10.1103/PhysRevLett.114.067001,10.1103/PhysRevLett.111.027207
10.1103/PhysRevLett.107.177001,10.1103/PhysRevLett.102.107008
10.1103/PhysRevLett.109.207001,10.1103/PhysRevLett.100.136601
10.1103/PhysRevLett.110.217004,10.1103/PhysRevLett.104.207001
10.1103/PhysRevLett.107.087001,10.1103/PhysRevLett.98.077003
10.1103/PhysRevLett.110.177001,10.1103/PhysRevLett.103.027004
10.1103/PhysRevLett.110.117003,10.1103/PhysRevLett.101.107005
10.1103/PhysRevLett.100.207001,10.1103/PhysRevLett.98.077003
10.1103/PhysRevLett.104.076806,10.1103/PhysRevLett.99.046804
10.1103/PhysRevLett.103.147001,10.1103/PhysRevLett.102.227005
10.1103/PhysRevLett.98.107002,10.1103/PhysRevLett.98.077003
10.1103/PhysRevLett.107.177001,10.1103/PhysRevLett.106.247001
10.1103/PhysRevLett.110.097001,10.1103/PhysRevLett.99.227001
10.1103/PhysRevLett.102.107008,10.1103/PhysRevLett.98.077003
10.1103/PhysRevLett.114.067001,10.1103/PhysRevLett.106.247001
10.1103/PhysRevLett.101.187003,10.1103/PhysRevLett.99.067005
10.1103/PhysRevLett.111.097003,10.1103/PhysRevLett.103.147001
10.1103/PhysRevLett.109.057005,10.1103/PhysRevLett.105.207002
10.1103/PhysRevLett.110.047002,10.1103/PhysRevLett.101.257001
10.1103/PhysRevLett.101.057009,10.1103/PhysRevLett.100.047002
10.1103/PhysRevLett.110.237003,10.1103/PhysRevLett.108.127002
10.1103/PhysRevLett.99.037005,10.1103/PhysRevLett.98.037003
10.1103/PhysRevLett.110.237003,10.1103/PhysRevLett.98.107002
10.1103/PhysRevLett.103.037003,10.1103/PhysRevLett.102.017001
10.1103/PhysRevLett.110.177001,10.1103/PhysRevLett.101.017004
10.1103/PhysRevLett.108.207205,10.1103/PhysRevLett.103.027004
10.1103/PhysRevLett.109.237002,10.1103/PhysRevLett.106.067005
10.1103/PhysRevLett.114.067001,10.1103/PhysRevLett.110.047002
10.1103/PhysRevLett.109.237002,10.1103/PhysRevLett.98.077003
10.1103/PhysRevLett.110.097001,10.1103/PhysRevLett.98.267001
10.1103/PhysRevLett.110.175301,10.1103/PhysRevLett.107.087001
10.1103/PhysRevLett.110.175301,10.1103/PhysRevLett.106.246601
10.1103/PhysRevX.5.041021,10.1103/PhysRevLett.100.237002
10.1103/PhysRevLett.114.067001,10.1103/PhysRevLett.110.097001
10.1103/PhysRevLett.106.247001,10.1103/PhysRevLett.103.067009
10.1103/PhysRevLett.115.087002,10.1103/RevModPhys.80.315
10.1103/PhysRevLett.110.217004,10.1103/PhysRevLett.98.107002
10.1103/PhysRevLett.102.227005,10.1103/PhysRevLett.98.077003
10.1103/PhysRevLett.106.246601,10.1103/PhysRevLett.102.107008
10.1103/PhysRevLett.115.067201,10.1103/PhysRevLett.105.207002
10.1103/PhysRevLett.110.177001,10.1103/PhysRevLett.109.057005
10.1103/PhysRevX.5.021019,10.1103/PhysRevLett.109.057005
10.1103/PhysRevLett.105.207002,10.1103/PhysRevLett.104.137002
10.1103/PhysRevLett.109.237006,10.1103/PhysRevLett.99.127002
10.1103/PhysRevLett.106.246601,10.1103/PhysRevLett.99.037005
10.1103/PhysRevLett.110.175301,10.1103/PhysRevLett.98.037003
10.1103/PhysRevLett.109.087004,10.1103/PhysRevLett.104.137002
10.1103/PhysRevLett.110.117003,10.1103/PhysRevLett.108.127002
10.1103/PhysRevLett.113.227002,10.1103/PhysRevLett.104.137002
10.1103/PhysRevLett.113.227002,10.1103/PhysRevLett.110.117003
10.1103/PhysRevLett.101.137001,10.1103/PhysRevLett.98.267001
10.1103/PhysRevLett.108.197002,10.1103/PhysRevLett.104.137002
10.1103/PhysRevLett.102.077002,10.1103/PhysRevLett.98.037003
10.1103/PhysRevLett.109.057005,10.1103/PhysRevLett.104.137002
10.1103/PhysRevLett.103.027004,10.1103/PhysRevLett.101.017004
10.1103/PhysRevLett.111.226801,10.1103/PhysRevLett.98.037003
10.1103/PhysRevLett.101.187003,10.1103/PhysRevLett.99.037005
10.1103/PhysRevLett.110.047002,10.1103/PhysRevLett.98.077003
10.1103/PhysRevLett.110.097001,10.1103/PhysRevLett.101.017004
10.1103/PhysRevLett.109.147207,10.1103/PhysRevLett.103.067009
10.1103/PhysRevLett.108.207205,10.1103/PhysRevLett.105.207002
10.1103/PhysRevLett.104.076806,10.1103/PhysRevLett.103.067009
10.1103/PhysRevLett.110.175301,10.1103/PhysRevLett.102.107008
10.1103/PhysRevLett.114.227001,10.1103/PhysRevLett.101.107001
10.1103/PhysRevLett.102.227005,10.1103/PhysRevLett.98.107002
10.1103/PhysRevLett.114.167002,10.1103/PhysRevLett.110.047002
10.1103/PhysRevLett.110.237003,10.1103/PhysRevLett.109.207001
10.1103/PhysRevLett.115.067201,10.1103/PhysRevLett.106.067005
10.1103/PhysRevLett.103.147004,10.1103/PhysRevLett.101.107001
10.1103/PhysRevLett.103.147004,10.1103/PhysRevLett.101.107005
10.1103/PhysRevLett.101.057009,10.1103/PhysRevLett.98.077003
10.1103/PhysRevLett.109.237002,10.1103/PhysRevLett.98.045301
10.1103/PhysRevLett.107.087001,10.1103/PhysRevLett.98.037003
10.1103/PhysRevLett.112.057001,10.1103/PhysRevLett.109.147004
10.1103/PhysRevLett.104.137002,10.1103/PhysRevLett.100.237002
10.1103/PhysRevLett.109.057002,10.1103/PhysRevLett.101.057009
10.1103/PhysRevLett.112.196802,10.1103/PhysRevLett.105.256804
10.1103/PhysRevLett.110.047002,10.1103/PhysRevLett.102.227005
10.1103/PhysRevLett.114.067001,10.1103/PhysRevLett.112.057001
10.1103/PhysRevLett.98.107002,10.1103/PhysRevLett.98.037003
10.1103/PhysRevLett.114.167002,10.1103/PhysRevLett.100.136601
10.1103/PhysRevLett.109.237002,10.1103/PhysRevLett.107.087001
10.1103/PhysRevLett.110.237003,10.1103/PhysRevLett.104.137002
10.1103/PhysRevLett.114.227001,10.1103/PhysRevLett.101.107005
10.1103/PhysRevLett.105.207002,10.1103/PhysRevLett.103.027004
10.1103/PhysRevLett.102.017001,10.1103/PhysRevLett.100.207001
10.1103/PhysRevLett.111.087602,10.1103/PhysRevLett.109.057002
10.1103/PhysRevLett.111.087602,10.1103/PhysRevLett.100.067602
10.1103/PhysRevX.5.041021,10.1103/PhysRevLett.104.137002
10.1103/PhysRevLett.110.097001,10.1103/PhysRevLett.101.137001
10.1103/PhysRevLett.109.147207,10.1103/PhysRevLett.106.247001
10.1103/PhysRevLett.109.237006,10.1103/PhysRevLett.100.077003
10.1103/PhysRevLett.102.107008,10.1103/PhysRevLett.98.037003
10.1103/PhysRevX.5.041021,10.1103/PhysRevLett.115.067201
10.1103/PhysRevLett.107.177001,10.1103/PhysRevLett.98.107002
10.1103/PhysRevLett.101.057009,10.1103/PhysRevLett.98.107002
10.1103/PhysRevLett.108.197002,10.1103/PhysRevLett.100.077003
10.1103/PhysRevLett.114.167002,10.1103/PhysRevLett.104.137002
10.1103/PhysRevX.5.041021,10.1103/PhysRevLett.109.237002
10.1103/PhysRevLett.100.077003,10.1103/PhysRevLett.98.077003
10.1103/PhysRevLett.102.107008,10.1103/PhysRevLett.99.037005
10.1103/PhysRevLett.107.037201,10.1103/PhysRevLett.99.046804
10.1103/PhysRevLett.107.087003,10.1103/PhysRevLett.104.207001
10.1103/PhysRevLett.109.147207,10.1103/PhysRevLett.105.256804
10.1103/PhysRevLett.111.226801,10.1103/PhysRevLett.103.147001
10.1103/PhysRevX.5.021019,10.1103/PhysRevLett.108.127002
10.1103/PhysRevLett.107.047001,10.1103/PhysRevLett.98.107002
10.1103/PhysRevLett.107.087003,10.1103/PhysRevLett.98.107002
10.1103/PhysRevLett.115.067201,10.1103/PhysRevLett.101.137001
10.1103/PhysRevLett.104.207001,10.1103/PhysRevLett.100.207001
10.1103/PhysRevLett.99.057003,10.1103/PhysRevLett.98.077003
10.1103/PhysRevLett.109.237002,10.1103/PhysRevLett.106.246601
10.1103/PhysRevLett.109.057002,10.1103/PhysRevLett.100.067602
10.1103/PhysRevLett.110.097001,10.1103/PhysRevLett.106.067005
10.1103/PhysRevLett.103.037003,10.1103/PhysRevLett.101.057009
10.1103/PhysRevLett.106.067005,10.1103/PhysRevLett.103.027004
10.1103/PhysRevX.5.041021,10.1103/PhysRevLett.106.246601
10.1103/PhysRevLett.99.067005,10.1103/PhysRevLett.98.037003
10.1103/PhysRevLett.111.027207,10.1103/PhysRevLett.109.147207
10.1103/PhysRevLett.107.047001,10.1103/PhysRevLett.104.137002
10.1103/PhysRevLett.113.227002,10.1103/PhysRevLett.108.127002
10.1103/PhysRevLett.109.087004,10.1103/PhysRevLett.105.207001
10.1103/PhysRevLett.115.087002,10.1103/PhysRevLett.105.207001
