citing_doi,cited_doi
10.1103/PhysRevLett.111.145003,10.1103/PhysRevLett.103.085004
10.1103/PhysRevLett.110.065004,10.1103/PhysRevLett.104.185002
10.1103/PhysRevLett.105.195001,10.1103/PhysRevLett.101.025005
10.1103/PhysRevLett.103.145002,10.1103/PhysRevLett.103.025001
10.1103/PhysRevLett.111.025002,10.1103/PhysRevLett.108.235002
10.1103/PhysRevLett.110.055002,10.1103/PhysRevLett.106.155004
10.1103/PhysRevLett.102.075004,10.1103/PhysRevLett.101.095001
10.1103/PhysRevLett.104.185002,10.1103/PhysRevLett.100.055005
10.1103/PhysRevLett.103.145002,10.1103/PhysRevLett.98.075001
10.1103/PhysRevLett.108.175001,10.1103/PhysRevLett.106.155004
10.1103/PhysRevLett.106.155004,10.1103/PhysRevLett.99.135003
10.1103/PhysRevLett.103.085004,10.1103/PhysRevLett.100.035005
10.1103/PhysRevLett.110.055002,10.1103/PhysRevLett.105.195001
10.1103/PhysRevLett.111.085002,10.1103/PhysRevLett.107.255001
10.1103/PhysRevLett.106.025001,10.1103/PhysRevLett.101.025005
10.1103/PhysRevLett.111.055003,10.1103/PhysRevLett.101.025005
10.1103/PhysRevLett.104.185002,10.1103/PhysRevLett.100.065005
10.1103/PhysRevLett.110.065004,10.1103/PhysRevLett.99.245002
10.1103/PhysRevLett.109.115003,10.1103/PhysRevLett.100.055005
10.1103/PhysRevLett.106.155003,10.1103/PhysRevLett.100.035005
10.1103/PhysRevLett.110.155005,10.1103/PhysRevLett.108.235002
10.1103/PhysRevLett.111.055003,10.1103/PhysRevLett.105.035003
10.1103/PhysRevLett.105.185004,10.1103/PhysRevLett.105.095002
